url,title
https://github.com/Manirevuri/arangodb-hackathon,GitHub - Manirevuri/arangodb-hackathon
https://2024.connected-data.london/speakers/urbashi-mitra/,Urbashi Mitra - Connected Data London 2024
https://medium.com/enterprise-rag/why-lawyers-are-uniquely-suited-to-work-with-llms-bcc66d3dce98,Why Lawyers Are Uniquely Suited to Work with LLMs | by Chia Jeng Yang | Knowledge Graph RAG | Medium
https://www.buzzsprout.com/242645/episodes/16799543,The sharing of suspicion
https://bods-data.openownership.org/source/gleif_version_0_4/,Beneficial ownership data analysis tools
https://mweiti.gov.mw/index.php/reports/details/761,Report Details | Malawi Extractive Industry Transparency Initiative | MWEITI
https://globalenergymonitor.org/projects/global-energy-ownership-tracker/,Global Energy Ownership Tracker - Global Energy Monitor
https://oecdstatistics.blog/2025/02/21/monitoring-multinational-enterprises-how-the-oecd-and-unsd-are-harnessing-open-data/,Monitoring multinational enterprises: How the OECD and UNSD are harnessing open data
https://www.taxobservatory.eu/publication/the-end-of-londongrad-ownership-transparency-and-offshore-investment-in-real-estate/,The End of Londongrad? Ownership transparency and Offshore Investment in Real Estate - Eutax
https://github.com/kyribaker/7bus_LMPs,GitHub - kyribaker/7bus_LMPs: An illustration of how congestion causes high locational marginal prices in a 7-bus power grid.
